Run Number,Timestamp,Cluster Creation,Fetch Credentials,Deploy App,Delete Cluster
1,2024-09-25 10:37:49,318,2,7,177
2,2024-09-25 12:40:17,357,2,5,216
3,2024-09-25 12:59:57,382,2,4,242
4,2024-09-25 13:20:27,306,2,6,243
5,2024-09-25 16:52:26,8,3,2,13435
6,2024-09-26 04:24:04,345,2,5,102
7,2024-09-26 04:57:17,2322,1,6,192
8,2024-09-26 05:50:00,343,2,5,210
9,2024-09-26 06:12:30,346,2,6,228
10,2024-09-26 07:08:25,365,2,5,219
11,2024-09-26 07:28:16,3822,2,5,217
12,2024-09-26 08:49:44,174,2,6,355
13,2024-09-26 10:24:35,374,2,5,162
14,2024-09-26 10:46:03,360,2,4,197
15,2024-09-26 11:05:26,302,2,4,206
16,2024-09-26 11:24:00,339,2,5,199
17,2024-09-26 11:43:05,330,2,5,224
18,2024-09-26 12:08:59,338,2,5,210
19,2024-09-26 13:52:27,2079,2,5,212
20,2024-09-26 14:40:45,338,2,6,238
21,2024-09-26 15:00:29,315,1,6,199
22,2024-09-27 01:39:39,352,2,5,198
