Run Number,Cluster Creation,Increase Node Count,Fetch Credentials,Deploy App,Reduce Node Count,Delete Cluster
1,301,38,2,6,150,196
2,369,52,2,5,149,198
3,330,50,2,6,161,204
4,330,37,2,2,246,211
5,337,43,1,6,243,212
6,350,50,2,2,244,209
7,351,45,1,2,147,210
8,329,37,2,5,156,207
9,351,57,2,2,228,215
10,356,49,1,4,152,216
11,343,49,2,2,2056,228
12,298,36,1,2,152,203
13,352,1091,2,4,148,203
14,398,17,1,6,1218,2
15,3,4,1,2,4,2
16,2,4,1,2,4,2
17,2,4,1,2,4,2
18,2,4,1,2,4,2
19,2,4,1,2,4,2
20,2,4,1,2,4,2
21,2,107,2,1,126,17
22,2187,53,2,4,82,30
23,2903,44,2,4,177,189
24,332,51,2,6,239,218
25,301,50,2,2,174,197
26,325,38,2,5,154,223
27,325,44,2,4,242,210
28,358,44,2,5,154,196
29,376,51,2,5,251,197
30,328,51,2,2,247,204
31,333,51,1,2,105,44802
32,797,44,4,4,25,1050
33,534,52,1,6,166,196
34,285,20425,2,2,156,204
35,351,51,2,5,247,205
36,312,51,2,5,161,186
37,372,57,2,3,149,1291
38,360,38,2,4,12,705
39,457,43,2,5,245,209
40,332,51,2,5,156,77
41,2792,45,2,4,157,201
42,332,50,2,6,129,1258
43,91,2239,7,27,8079,3
